restaurant_year_opened,count,mean
2004,5,3.815
2005,60,3.8121666666666667
2006,123,3.6909349593495935
2007,36,3.7848333333333333
2008,26,3.7158846153846152
2009,31,3.7511290322580644
2010,26,3.883923076923077
2011,46,3.780326086956522
2012,33,3.9430303030303033
2013,48,3.9026666666666667
2014,57,3.782649122807017
2015,66,3.895818181818182
2016,34,4.0184999999999995
