id_n,restaurant_name,restaurant_yelp_price,restaurant_yelp_pricelevel,restaurant_yelp_cuisine,restaurant_main_cuisine,restaurant_address,restaurant_year_opened,restaurant_age,restaurant_yelp_av_rating,menu_year,menu_n_dishes,menu_descr_length,menu_descr_size,menu_craft_auth,menu_nat_auth,menu_avg_price,menu_min_price,menu_descr_length_abs,menu_descr_size_abs,menu_craft_auth_abs,menu_nat_auth_abs,reviewer_experience,reviewer_local,dc,michelin_rank,restaurant_star,guide_dummy,menu_year2017,best_out_dc,control_1,trend_dc,trend_boston,price_matched,priorstanding,priorstanding_vs_control1,priorstanding_vs_control2
8,Puritan & Company,$$$,3,"American (New), Wine Bars, Breakfast & Brunch",American (New),"1166 Cambridge St Cambridge, MA 02139",2012,6,4.015,2016,23,13.39000034,0.039999999,0.0,0.090000004,29.86,20.0,308.0,1.0,0.0,2.0,119.0,0.519,0,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,Puritan & Company,$$$,3,"American (New), Wine Bars, Breakfast & Brunch",American (New),"1166 Cambridge St Cambridge, MA 02139",2012,6,3.951,2017,23,7.570000172,0.0,0.129999995,0.039999999,28.75,25.0,174.0,0.0,3.0,1.0,119.0,0.519,0,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,Sorellina,$$$$,4,"Italian, Bars, Salad",Italian,"1 Huntington Ave Boston, MA 02116",2006,12,4.178,2016,32,10.75,0.029999999,0.0,0.029999999,30.74,16.0,344.0,1.0,0.0,1.0,75.0,0.644,0,4,1.0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
9,Sorellina,$$$$,4,"Italian, Bars, Salad",Italian,"1 Huntington Ave Boston, MA 02116",2006,12,4.202,2017,29,11.47999954,0.029999999,0.0,0.07,31.6,16.0,333.0,1.0,0.0,2.0,75.0,0.644,0,4,1.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
10,Ten Tables,$$$,3,American (New),American (New),"597 Centre St Jamaica Plain, MA 02130",2005,13,4.237,2016,26,16.37999916,0.079999998,0.079999998,0.310000002,23.0,20.0,426.0,2.0,2.0,8.0,52.0,0.439,0,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,Ten Tables,$$$,3,American (New),American (New),"597 Centre St Jamaica Plain, MA 02130",2005,13,4.196,2017,21,8.380000114,0.0,0.239999995,0.050000001,18.75,15.0,176.0,0.0,5.0,1.0,52.0,0.439,0,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,SRV Boston,$$$,3,"Italian, Wine Bars",Italian,"569 Columbus Ave Boston, MA 02118",2016,2,4.5,2016,20,9.800000191,0.0,0.0,0.050000001,15.26,8.0,196.0,0.0,0.0,1.0,123.0,0.944,0,3,0.0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
13,SRV Boston,$$$,3,"Italian, Wine Bars",Italian,"569 Columbus Ave Boston, MA 02118",2016,2,4.464,2017,17,9.119999886,0.0,0.0,0.119999997,16.5,11.0,155.0,0.0,0.0,2.0,123.0,0.944,0,3,0.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
14,Area Four,$$,2,"Pizza, American (Traditional), Bars",Pizza,"500 Technology Sq Cambridge, MA 02139",2011,7,3.928,2016,39,9.899999619,0.0,0.050000001,0.029999999,13.32,8.0,386.0,0.0,2.0,1.0,122.0,0.586,0,3,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14,Area Four,$$,2,"Pizza, American (Traditional), Bars",Pizza,"500 Technology Sq Cambridge, MA 02139",2011,7,3.935,2017,39,9.899999619,0.0,0.050000001,0.029999999,13.32,8.0,386.0,0.0,2.0,1.0,122.0,0.586,0,3,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
